,image0000013A.tif,image0000015A.tif,image0000017A.tif,image0000019A.tif,image0000021A.tif,image0000022A.tif,image0000023A.tif,image0000024A.tif,image0000027A.tif,image0000028A.tif,image0000029A.tif,image0000040A.tif,image0000046A.tif,image0000047A.tif,image0000048A.tif,image0000049A.tif,image0000050A.tif,image0000051A.tif,image0000054A.tif,image0000058A.tif,image0000078A.tif,image0000086A.tif,image0000088A.tif
24,True,-,-,-,-,-,-,-,-,-,-,-,False,False,-,-,-,-,-,False,False,False,-
25,-,-,-,-,-,-,-,-,True,-,-,-,True,-,-,-,-,-,-,-,False,-,-
26,True,-,-,-,False,True,-,-,True,-,True,-,True,True,True,-,True,-,-,False,False,False,-
27,False,-,-,-,-,-,-,-,-,False,True,-,True,False,-,False,False,-,True,False,True,True,-
28,-,-,-,-,-,-,-,-,-,True,True,-,True,-,-,-,-,-,-,True,True,False,-
29,-,-,-,-,-,-,-,-,-,-,-,-,True,True,-,-,False,-,-,-,False,True,-
30,-,-,-,-,-,-,-,-,False,-,True,-,True,True,-,-,True,-,-,-,False,False,-
31,True,True,True,False,True,False,False,True,False,-,-,True,-,True,True,-,False,-,False,-,False,False,False
32,True,False,True,-,True,True,True,True,-,-,True,True,-,True,False,-,True,True,True,False,True,False,False
33,True,-,False,-,True,True,True,False,-,-,-,True,-,True,False,-,False,True,True,-,False,True,-
34,True,True,True,-,False,True,-,True,True,-,True,-,-,False,True,-,-,True,True,-,False,False,False
35,True,-,False,-,True,True,-,False,True,True,False,-,-,True,False,-,True,False,True,-,False,False,True
36,False,-,False,-,False,False,True,False,True,-,-,False,-,False,-,-,-,False,True,True,False,True,-
37,-,False,-,-,-,True,-,True,-,-,-,-,-,True,-,-,-,False,False,-,True,False,False
38,True,-,True,False,-,True,True,False,False,-,False,False,-,-,False,-,-,True,False,-,True,False,-
39,-,False,-,True,-,-,True,True,-,-,False,-,-,False,-,-,False,True,False,-,False,False,False
40,-,-,-,-,True,-,False,-,False,-,True,-,-,-,-,-,True,True,False,-,True,-,False
41,True,-,True,False,True,False,True,False,True,-,True,True,-,True,-,-,False,True,True,False,False,False,True
42,-,False,-,-,True,False,False,-,-,-,-,-,-,True,-,-,-,-,-,-,False,-,False
43,-,False,False,False,True,-,-,False,True,False,False,False,-,False,False,-,False,True,False,True,False,False,False
44,-,-,-,-,False,-,-,-,True,-,-,-,-,-,-,-,False,False,-,-,False,True,False
45,-,True,-,-,-,-,False,-,False,-,-,-,-,False,-,-,-,True,-,-,False,False,False
46,-,False,True,-,False,-,False,False,-,-,-,-,-,-,-,-,False,True,-,-,False,False,True
47,-,False,-,-,True,False,-,-,-,-,-,-,-,True,-,-,False,False,-,-,False,False,False
48,False,-,-,-,False,True,-,False,-,-,-,-,-,-,-,-,-,-,-,False,True,-,False
49,-,True,True,-,False,False,True,-,-,-,True,-,-,True,-,-,True,True,-,False,False,False,True
50,True,-,True,-,True,False,-,-,-,False,False,-,-,-,-,-,False,True,False,-,False,False,False
51,True,True,-,-,-,-,-,-,-,-,-,-,-,-,False,-,False,-,True,False,-,-,-
52,-,True,-,-,True,True,-,-,-,-,-,-,True,-,-,-,False,-,-,False,False,False,-
53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False,-,-,-,False,-,False
54,-,False,True,-,True,False,-,False,True,-,True,False,-,-,-,-,-,True,-,False,False,-,-
55,-,False,-,True,False,True,-,-,-,-,-,-,True,-,False,-,-,True,-,False,-,True,-
56,-,-,-,-,-,-,-,-,True,-,-,True,True,-,-,-,-,-,-,False,False,False,False
57,-,False,-,False,True,False,True,-,-,-,-,True,True,-,True,-,False,False,True,False,-,False,-
58,True,False,True,-,True,True,-,-,True,False,True,True,True,-,True,False,True,True,True,-,False,-,False
59,-,True,-,True,True,-,True,-,True,-,True,True,True,-,-,-,-,True,True,-,False,-,-
60,-,-,-,True,-,False,True,-,-,-,-,False,True,-,-,-,-,-,-,-,False,False,False
